index,Order ID,Date,Status,Fulfilment,Category,Size,ASIN,Courier Status,Qty,Amount,ship-city,ship-state,ship-postal-code
0,405-8078784-5731545,04-30-22,Cancelled,Merchant,Set,S,B09KXVBD7Z,Null,0,648,MUMBAI,MAHARASHTRA,400081
1,171-9198151-1101146,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,3XL,B09K3WFS32,Shipped,1,406,BENGALURU,KARNATAKA,560085
3,403-9615377-8133951,04-30-22,Cancelled,Merchant,Western Dress,L,B099NRCT7B,Null,0,329,PUDUCHERRY,PUDUCHERRY,605008
4,407-1069790-7240320,04-30-22,Shipped,Amazon,Top,3XL,B098714BZP,Shipped,1,753,CHENNAI,TAMIL NADU,600073
5,404-1490984-4578765,04-30-22,Shipped,Amazon,Set,XL,B08YN7XDSG,Shipped,1,574,GHAZIABAD,UTTAR PRADESH,201102
6,408-5748499-6859555,04-30-22,Shipped,Amazon,Set,L,B08CMHNWBN,Shipped,1,824,CHANDIGARH,CHANDIGARH,160036
7,406-7807733-3785945,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,S,B081WX4G4Q,Shipped,1,653,HYDERABAD,TELANGANA,500032
8,407-5443024-5233168,04-30-22,Cancelled,Amazon,Set,3XL,B08L91ZZXN,Cancelled,0,399,HYDERABAD,TELANGANA,500008
9,402-4393761-0311520,04-30-22,Shipped,Amazon,kurta,XXL,B08B3XF5MH,Shipped,1,0,Chennai,TAMIL NADU,600041
11,171-4638481-6326716,04-30-22,Shipped,Amazon,kurta,XS,B098117DJ3,Shipped,1,363,NOIDA,UTTAR PRADESH,201303
12,405-5513694-8146768,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,XS,B081XCMYXJ,Shipped,1,685,Amravati.,MAHARASHTRA,444606
13,408-7955685-3083534,04-30-22,Shipped,Amazon,Set,XS,B085HS947T,Shipped,1,364,MUMBAI,MAHARASHTRA,400053
14,408-1298370-1920302,04-30-22,Shipped - Delivered to Buyer,Merchant,Set,L,B09CSSQY4F,Shipped,1,399,MUMBAI,MAHARASHTRA,400053
15,403-4965581-9520319,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,6XL,B09PY99SVJ,Shipped,1,657,GUNTAKAL,ANDHRA PRADESH,515801
16,406-9379318-6555504,04-30-22,Shipped,Amazon,kurta,XXL,B099FCT65D,Shipped,1,771,JAIPUR,RAJASTHAN,302020
17,405-9013803-8009918,04-30-22,Shipped,Amazon,kurta,XL,B081WT6GG7,Shipped,1,544,NEW DELHI,DELHI,110074
18,402-4030358-5835511,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,XXL,B098133PV5,Shipped,1,329,Gurgaon,HARYANA,122004
19,405-5957858-1051546,04-30-22,Shipped,Amazon,Set,XS,B0983DDPL6,Shipped,1,399,BENGALURU,KARNATAKA,560017
20,405-0607769-0716360,04-30-22,Shipped,Amazon,kurta,3XL,B09HMXJVFS,Shipped,1,458,TIRUCHIRAPPALLI,TAMIL NADU,620018
21,404-8494550-5860325,04-30-22,Shipped,Amazon,Set,M,B09KXV4BN8,Shipped,1,886,BENGALURU,KARNATAKA,560040
22,171-1305077-2813934,04-30-22,Shipped,Amazon,kurta,L,B082W7GVH7,Shipped,1,517,HYDERABAD,TELANGANA,500072
23,404-6019946-2909948,04-30-22,Cancelled,Merchant,Set,M,B099NK55YG,Null,0,666,pune,MAHARASHTRA,411044
24,402-3384087-4005164,04-30-22,Shipped,Amazon,kurta,L,B08YYYDN9R,Shipped,1,376,TEZPUR,ASSAM,784001
25,405-8191138-5176316,04-30-22,Shipped - Delivered to Buyer,Merchant,Set,XS,B09G2RQSRZ,Shipped,1,570,RANCHI,JHARKHAND,834002
26,403-9230474-9657916,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,3XL,B082W8JXJ9,Shipped,1,499,BILASPUR,CHHATTISGARH,495001
27,408-3484251-6901959,04-30-22,Shipped,Amazon,kurta,4XL,B09LD2W9XL,Shipped,1,582,PUNE,MAHARASHTRA,411052
28,405-7755803-4729935,04-30-22,Shipped,Amazon,kurta,M,B08KRXV1QR,Shipped,1,299,BENGALURU,KARNATAKA,560037
29,404-5933402-8801952,04-30-22,Cancelled,Merchant,kurta,3XL,B07JG3CND8,Null,0,459,GUWAHATI,ASSAM,781003
30,171-9040274-9291563,04-30-22,Shipped,Amazon,Western Dress,S,B099NR7612,Shipped,1,399,THIRUVARUR,TAMIL NADU,613704
31,403-7056319-0979561,04-30-22,Shipped,Amazon,kurta,XL,B08YYTCPYX,Shipped,1,0,LUCKNOW,UTTAR PRADESH,226010
32,404-9632124-1107550,04-30-22,Shipped - Delivered to Buyer,Merchant,Set,M,B08B3YNJG5,Shipped,1,791,VISAKHAPATNAM,ANDHRA PRADESH,530016
33,402-1465437-0579556,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,M,B09K3XR43V,Shipped,1,499,JEYPUR,ODISHA,764001
34,404-7774085-3780319,04-30-22,Shipped,Amazon,kurta,XL,B082W8BXW1,Shipped,1,1233,HYDERABAD,TELANGANA,500028
35,402-2764952-1492318,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,XL,B08YYRH2Q6,Shipped,1,517,LUCKNOW,UTTAR PRADESH,226016
36,406-0272200-7784379,04-30-22,Shipped,Amazon,Set,L,B09KXT4VG7,Shipped,1,376,CHENNAI,TAMIL NADU,600033
37,403-4367956-2849158,04-30-22,Shipped,Amazon,kurta,S,B09RKBXM5B,Shipped,1,499,NEW DELHI,DELHI,110092
38,403-4367956-2849158,04-30-22,Shipped,Amazon,kurta,S,B08HHJP41L,Shipped,1,666,NEW DELHI,DELHI,110092
39,403-4242957-8599555,04-30-22,Shipped,Amazon,kurta,L,B081WSCKPQ,Shipped,1,487,THIRUVANANTHAPURAM,KERALA,695011
40,408-7165704-5643524,04-30-22,Shipped,Amazon,Ethnic Dress,XXL,B09831VWD9,Shipped,1,368,GREATER NOIDA,UTTAR PRADESH,201306
41,402-8210765-3935569,04-30-22,Shipped,Amazon,Western Dress,3XL,B09SDXZBGX,Shipped,1,399,JABALPUR,MADHYA PRADESH,482002
42,406-7398201-3869914,04-30-22,Shipped - Delivered to Buyer,Merchant,kurta,M,B0794YR85H,Shipped,1,699,MUMBAI,MAHARASHTRA,400092
